Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
BAJFINANCE,Bajaj Finance Limited,0.0,0.0,0.0,0.0,0.0
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,0.0,0.0,0.0,0.0,0.0
BALAJITELE,Balaji Telefilms Limited,0.0,0.0,0.0,0.0,0.0
BALAMINES,Balaji Amines Limited,0.0,0.0,0.0,0.0,0.0
BALAXI,BALAXI PHARMACEUTICALS LIMITED,0.0,0.0,0.0,0.0,0.0
BALKRISHNA,Balkrishna Paper Mills Limited,0.0,0.0,0.0,0.0,0.0
BALKRISIND,Balkrishna Industries Limited,0.0,0.0,0.0,0.0,0.0
BALMLAWRIE,Balmer Lawrie & Company Limited,0.0,0.0,0.0,0.0,0.0
BALPHARMA,Bal Pharma Limited,0.0,0.0,0.0,0.0,0.0
BALRAMCHIN,Balrampur Chini Mills Limited,0.0,0.0,0.0,0.0,0.0
BALUFORGE,Balu Forge Industries Limited,0.0,0.0,0.0,0.0,0.0
BANARBEADS,Banaras Beads Limited,0.0,0.0,0.0,0.0,0.0
BANARISUG,Bannari Amman Sugars Limited,0.0,0.0,0.0,0.0,0.0
BANCOINDIA,Banco Products (I) Limited,0.0,0.0,0.0,0.0,0.0
BANDHANBNK,Bandhan Bank Limited,0.0,0.0,0.0,0.0,0.0
BANG,Bang Overseas Limited,0.0,0.0,0.0,0.0,0.0
BANKA,Banka BioLoo Limited,0.0,0.0,0.0,0.0,0.0
BANKBARODA,Bank of Baroda,0.0,0.0,0.0,0.0,0.0
BANKINDIA,Bank of India,0.0,0.0,0.0,0.0,0.0
BANSALWIRE,Bansal Wire Industries Limited,0.0,0.0,0.0,0.0,0.0
BANSWRAS,Banswara Syntex Limited,0.0,0.0,0.0,0.0,0.0
BASF,BASF India Limited,0.0,0.0,0.0,0.0,0.0
BASML,Bannari Amman Spinning Mills Limited,0.0,0.0,0.0,0.0,0.0
BATAINDIA,Bata India Limited,0.0,0.0,0.0,0.0,0.0
BATLIBOI,Batliboi Limited,0.0,0.0,0.0,0.0,0.0
BAYERCROP,Bayer Cropscience Limited,0.0,0.0,0.0,0.0,0.0
BBL,Bharat Bijlee Limited,0.0,0.0,0.0,0.0,0.0
BBOX,Black Box Limited,0.0,0.0,0.0,0.0,0.0
BBTC,The Bombay Burmah Trading Corporation Limited,0.0,0.0,0.0,0.0,0.0
BBTCL,B&B Triplewall Containers Limited,0.0,0.0,0.0,0.0,0.0
BCG,Brightcom Group Limited,0.0,0.0,0.0,0.0,0.0
BCLIND,Bcl Industries Limited,0.0,0.0,0.0,0.0,0.0
BCONCEPTS,Brand Concepts Limited,0.0,0.0,0.0,0.0,0.0
BCPL,BCPL Railway Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
BDL,Bharat Dynamics Limited,0.0,0.0,0.0,0.0,0.0
BEARDSELL,Beardsell Limited,0.0,0.0,0.0,0.0,0.0
BECTORFOOD,Mrs. Bectors Food Specialities Limited,0.0,0.0,0.0,0.0,0.0
BEDMUTHA,Bedmutha Industries Limited,0.0,0.0,0.0,0.0,0.0
BEEKAY,Beekay Steel Industries Limited,0.0,0.0,0.0,0.0,0.0
BEL,Bharat Electronics Limited,0.0,0.0,0.0,0.0,0.0
BELLACASA,Bella Casa Fashion & Retail Limited,0.0,0.0,0.0,0.0,0.0
BELRISE,Belrise Industries Limited,0.0,0.0,0.0,0.0,0.0
BEML,BEML Limited,0.0,0.0,0.0,0.0,0.0
BENGALASM,Bengal & Assam Company Limited,0.0,0.0,0.0,0.0,0.0
BEPL,Bhansali Engineering Polymers Limited,0.0,0.0,0.0,0.0,0.0
BERGEPAINT,Berger Paints (I) Limited,0.0,0.0,0.0,0.0,0.0
BESTAGRO,Best Agrolife Limited,0.0,0.0,0.0,0.0,0.0
BETA,Beta Drugs Limited,0.0,0.0,0.0,0.0,0.0
BFINVEST,BF Investment Limited,0.0,0.0,0.0,0.0,0.0
BFUTILITIE,BF Utilities Limited,0.0,0.0,0.0,0.0,0.0
BGLOBAL,Bharatiya Global Infomedia Limited,0.0,0.0,0.0,0.0,0.0
BGRENERGY,BGR Energy Systems Limited,0.0,0.0,0.0,0.0,0.0
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,0.0,0.0,0.0,0.0,0.0
BHAGERIA,Bhageria Industries Limited,0.0,0.0,0.0,0.0,0.0
BHAGYANGR,Bhagyanagar India Limited,0.0,0.0,0.0,0.0,0.0
BHANDARI,Bhandari Hosiery Exports Limited,0.0,0.0,0.0,0.0,0.0
BHARATCOAL,Bharat Coking Coal Limited,0.0,0.0,0.0,0.0,0.0
BHARATFORG,Bharat Forge Limited,0.0,0.0,0.0,0.0,0.0
BHARATGEAR,Bharat Gears Limited,0.0,0.0,0.0,0.0,0.0
BHARATRAS,Bharat Rasayan Limited,0.0,0.0,0.0,0.0,0.0
BHARATSE,Bharat Seats Limited,0.0,0.0,0.0,0.0,0.0
BHARATWIRE,Bharat Wire Ropes Limited,0.0,0.0,0.0,0.0,0.0
BHARTIARTL,Bharti Airtel Limited,0.0,0.0,0.0,0.0,0.0
BHARTIHEXA,Bharti Hexacom Limited,0.0,0.0,0.0,0.0,0.0
BHEL,Bharat Heavy Electricals Limited,0.0,0.0,0.0,0.0,0.0
BI,Bilcare Limited,0.0,0.0,0.0,0.0,0.0
BIGBLOC,Bigbloc Construction Limited,0.0,0.0,0.0,0.0,0.0
BIKAJI,Bikaji Foods International Limited,0.0,0.0,0.0,0.0,0.0
BIL,Bhartiya International Limited,0.0,0.0,0.0,0.0,0.0
BILVYAPAR,BIL VYAPAR LIMITED,0.0,0.0,0.0,0.0,0.0
BIMETAL,Bimetal Bearings Limited,0.0,0.0,0.0,0.0,0.0
BIOCON,Biocon Limited,0.0,0.0,0.0,0.0,0.0
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
BIRLACABLE,Birla Cable Limited,0.0,0.0,0.0,0.0,0.0
BIRLACORPN,Birla Corporation Limited,0.0,0.0,0.0,0.0,0.0
BIRLAMONEY,Aditya Birla Money Limited,0.0,0.0,0.0,0.0,0.0
BIRLANU,BirlaNu Limited,0.0,0.0,0.0,0.0,0.0
BIRLAPREC,Birla Precision Technologies Limited,0.0,0.0,0.0,0.0,0.0
BLACKBUCK,BLACKBUCK LIMITED,0.0,0.0,0.0,0.0,0.0
